ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
Registro,Título da Atividade,Coordenador da Atividade,Unidade UFTM,Modalidade,Área Temática Principal,Início,Término,Envio,Data do Registro,Edital,Órgão Financeiro ,Valores (R$)
71/2021,Simpósio Aprimorando os Conhecimentos,PATRICIA HELENA ZANIER GOMES,ICBN,Evento,Educação,07/04/2021,30/06/2021,15/03/2021,22/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
72/2021,UFTM Finance Club,THIAGO HENRIQUE BARNABE CORREA,ICENE,Liga Acadêmica (Programa),Educação,12/04/2021,11/04/2023,15/03/2021,22/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
73/2021,IX Curso Introdutório e VIII Simpósio da Liga de Emergências Clínicas da UFTM,LEANDRO DE RESENDE YAMAMOTO,ICS,Evento,Saúde,13/04/2021,13/04/2021,21/03/2021,25/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
74/2021,Enfermagem Obstétrica: reinventando caminhos em meio à pandemia - Segunda edição,MARIANA TORREGLOSA RUIZ,ICS,Evento,Saúde,07/04/2021,28/04/2021,24/03/2021,25/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
75/2021,Mulheres Unidas,MARIANA RISSI AZEVEDO,Campus Universitário de Iturama,Projeto,Direitos Humanos e Justiça,15/04/2021,10/01/2022,18/03/2021,25/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
76/2021,XIV Oficinas Preparatórias para Postulantes à Adoção,CLAUDIA HELENA JULIAO,IELACHS,Projeto,Direitos Humanos e Justiça,22/04/2021,16/12/2022,24/03/2021,26/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
77/2021,Desenvolvimento de aplicativo (mHealth) para avaliação da capacidade funcional e de site para orientação de Exercício Físico para idosos,ANDERSON DIOGO DE SOUZA LINO,ICS,Projeto,Saúde,11/04/2021,30/09/2021,12/03/2021,26/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
78/2021,UFTM e agricultura familiar: promovendo o desenvolvimento rural na região do pontal do triângulo,Ariane Fernandes da Conceição,Campus Universitário de Iturama,Programa,Educação,01/03/2021,01/12/2021,18/12/2020,26/03/2021,SIGProj - Edital PIBEX nº  07/2020 - sem bolsa,PROEXT - UFTM,"R$ 2.000,00"
79/2021,II Simpósio e curso introdutório à Liga de Oftalmologia do Triângulo Mineiro,FIRMANI MELLO BENTO DE SENNE,ICS,Evento,Saúde,09/04/2021,09/04/2021,04/03/2021,29/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
80/2021,Liga Acadêmica de Circulação Extracorpórea (LACEC),Fernanda Machado Fonseca,ICS,Liga Acadêmica (Programa),Saúde,20/04/2021,20/12/2021,02/03/2021,29/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
